ID,EMPLOYEEID,ORDERDATE,REQUIREDDATE,SHIPPEDDATE,SHIPVIA,FREIGHT,SHIPNAME,SHIPADDRESS,SHIPCITY,SHIPREGION,SHIPPOSTALCODE,SHIPCOUNTRY
10378,5,2012-12-10,2013-01-07,2012-12-19,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10562,1,2013-06-09,2013-07-07,2013-06-12,1,22.95,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy
10652,4,2013-09-01,2013-09-29,2013-09-08,2,7.14,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,South America,04876-786,Brazil
10705,9,2013-10-15,2013-11-12,2013-11-18,2,3.52,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela
10479,3,2013-03-19,2013-04-16,2013-03-21,3,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10854,3,2014-01-27,2014-02-24,2014-02-05,2,100.22,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10407,2,2013-01-07,2013-02-04,2013-01-30,2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany
10848,7,2014-01-23,2014-02-20,2014-01-29,2,38.24,Consolidated Holdings,Berkeley Gardens 12  Brewery,London,British Isles,WX1 6LT,UK
10299,4,2012-09-06,2012-10-04,2012-09-13,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
10636,4,2013-08-19,2013-09-16,2013-08-26,1,1.15,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10532,7,2013-05-09,2013-06-06,2013-05-12,3,74.46,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK
10658,4,2013-09-05,2013-10-03,2013-09-08,1,364.15,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10701,6,2013-10-13,2013-10-27,2013-10-15,3,220.31,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10993,7,2014-04-01,2014-04-29,2014-04-10,3,8.81,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
11077,1,2014-05-06,2014-06-03,,2,8.53,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10630,1,2013-08-13,2013-09-10,2013-08-19,2,32.35,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany
10996,4,2014-04-02,2014-04-30,2014-04-10,2,1.12,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10589,8,2013-07-04,2013-08-01,2013-07-14,2,4.42,Great Lakes Food Market,2732 Baker Blvd.,Eugene,North America,97403,USA
10887,8,2014-02-13,2014-03-13,2014-02-16,3,1.25,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain
10787,2,2013-12-19,2014-01-02,2013-12-26,1,249.93,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10384,3,2012-12-16,2013-01-13,2012-12-20,3,168.64,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10272,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10482,1,2013-03-21,2013-04-18,2013-04-10,3,7.48,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,North America,99362,USA
11039,1,2014-04-21,2014-05-19,,2,65.00,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,4980,Venezuela
10317,6,2012-09-30,2012-10-28,2012-10-10,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA
10706,8,2013-10-16,2013-11-13,2013-10-21,3,135.63,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA
10523,7,2013-05-01,2013-05-29,2013-05-30,2,77.63,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10560,8,2013-06-06,2013-07-04,2013-06-09,1,36.65,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10540,3,2013-05-19,2013-06-16,2013-06-13,3,1007.64,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
11047,7,2014-04-24,2014-05-22,2014-05-01,3,46.62,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK
10546,1,2013-05-23,2013-06-20,2013-05-27,3,194.72,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France
11035,2,2014-04-20,2014-05-18,2014-04-24,2,0.17,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10847,4,2014-01-22,2014-02-05,2014-02-10,3,487.57,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10397,5,2012-12-27,2013-01-24,2013-01-02,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal
10522,4,2013-04-30,2013-05-28,2013-05-06,1,45.33,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10841,5,2014-01-20,2014-02-17,2014-01-29,2,424.30,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10923,7,2014-03-03,2014-04-14,2014-03-13,3,68.26,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10928,1,2014-03-05,2014-04-02,2014-03-18,1,1.36,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain
10845,8,2014-01-21,2014-02-04,2014-01-30,1,212.98,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10822,6,2014-01-08,2014-02-05,2014-01-16,3,7.00,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,North America,98034,USA
10653,1,2013-09-02,2013-09-30,2013-09-19,1,93.25,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10573,7,2013-06-19,2013-07-17,2013-06-20,3,84.84,Antonio Moreno Taquería,Mataderos  2312,México D.F.,Central America,05023,Mexico
10944,6,2014-03-12,2014-03-26,2014-03-13,3,52.92,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
11062,4,2014-04-30,2014-05-28,,2,29.93,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy
10581,3,2013-06-26,2013-07-24,2013-07-02,1,3.01,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil
10294,4,2012-08-30,2012-09-27,2012-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10318,8,2012-10-01,2012-10-29,2012-10-04,2,4.73,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10998,8,2014-04-03,2014-04-17,2014-04-17,2,20.31,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland
10603,8,2013-07-18,2013-08-15,2013-08-08,2,48.77,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10871,9,2014-02-05,2014-03-05,2014-02-10,2,112.27,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
10657,2,2013-09-04,2013-10-02,2013-09-15,2,352.69,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10780,2,2013-12-16,2013-12-30,2013-12-25,1,42.13,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10472,8,2013-03-12,2013-04-09,2013-03-19,1,4.20,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10588,2,2013-07-03,2013-07-31,2013-07-10,3,194.67,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10342,4,2012-10-30,2012-11-13,2012-11-04,2,54.83,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10285,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10426,4,2013-01-27,2013-02-24,2013-02-06,1,18.69,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain
10826,6,2014-01-12,2014-02-09,2014-02-06,1,7.09,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
11042,2,2014-04-22,2014-05-06,2014-05-01,1,29.99,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil
11072,4,2014-05-05,2014-06-02,,2,258.64,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10431,4,2013-01-30,2013-02-13,2013-02-07,2,44.17,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10900,1,2014-02-20,2014-03-20,2014-03-04,2,1.66,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil
10487,2,2013-03-26,2013-04-23,2013-03-28,2,71.07,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil
10451,4,2013-02-19,2013-03-05,2013-03-12,3,189.09,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
11012,1,2014-04-09,2014-04-23,2014-04-17,3,242.95,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10906,4,2014-02-25,2014-03-11,2014-03-03,3,26.29,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland
